Date,Open,High,Low,Close,Adj Close,Volume,trade,,,,,balance,average_price,shares
2022/3/4,164.490005,165.550003,162.100006,163.169998,161.532272,83737200,,,,,,97624.50063,164.159996,200
2022/3/7,163.360001,165.020004,159.039993,159.300003,157.701111,96418800,,,,,,97624.50063,164.159996,200
2022/3/8,158.820007,162.880005,155.800003,157.440002,155.859787,131148300,,,,,,97624.50063,164.159996,200
2022/3/9,161.479996,163.410004,159.410004,162.949997,161.314468,91454900,,,,,,97624.50063,164.159996,200
2022/3/10,160.199997,160.389999,155.979996,158.520004,156.92894,105342000,,,,,,97624.50063,164.159996,200
2022/3/11,158.929993,159.279999,154.5,154.729996,153.176987,96970100,,,,,,97624.50063,164.159996,200
2022/3/14,151.449997,154.119995,150.100006,150.619995,149.108215,108732100,,,,,,97624.50063,164.159996,200
2022/3/15,150.899994,155.570007,150.380005,155.089996,153.533356,92964300,,,,,,97624.50063,164.159996,200
2022/3/16,157.050003,160,154.460007,159.589996,157.988174,102300200,,,,,,97624.50063,164.159996,200
2022/3/17,158.610001,161,157.630005,160.619995,159.007843,75615400,,,,,,97624.50063,164.159996,200
2022/3/18,160.509995,164.479996,159.759995,163.979996,162.334137,123511700,,,,,,97624.50063,164.159996,200
2022/3/21,163.509995,166.350006,163.009995,165.380005,163.720093,95811400,,,,,,97624.50063,164.159996,200
2022/3/22,165.509995,169.419998,164.910004,168.820007,167.125549,81532000,,,,,,97624.50063,164.159996,200
2022/3/23,167.990005,172.639999,167.649994,170.210007,168.501617,98062700,,,,,,97624.50063,164.159996,200
2022/3/24,171.059998,174.139999,170.210007,174.070007,172.322891,90131400,,,,,,97624.50063,164.159996,200
2022/3/25,173.880005,175.279999,172.75,174.720001,172.966339,80546200,,,,,,97624.50063,164.159996,200
2022/3/28,172.169998,175.729996,172,175.600006,173.837509,90371900,TRUE,,,,,115184.5012,164.159996,100
2022/3/29,176.690002,179.009995,176.339996,178.960007,177.163788,100589400,,,,,,115184.5012,164.159996,100
2022/3/30,178.550003,179.610001,176.699997,177.770004,175.985733,92633200,,,,,,115184.5012,164.159996,100
2022/3/31,177.839996,178.029999,174.399994,174.610001,172.857437,103049300,,,,,,115184.5012,164.159996,100
2022/4/1,174.029999,174.880005,171.940002,174.309998,172.560455,78751300,,,,,,115184.5012,164.159996,100
2022/4/4,174.570007,178.490005,174.440002,178.440002,176.648987,76468400,,,,,,115184.5012,164.159996,100
2022/4/5,177.5,178.300003,174.419998,175.059998,173.302933,73401800,,,,,,115184.5012,164.159996,100
2022/4/6,172.360001,173.630005,170.130005,171.830002,170.105347,89058800,,,,,,115184.5012,164.159996,100
2022/4/7,171.160004,173.360001,169.850006,172.139999,170.412231,77594700,,,,,,115184.5012,164.159996,100
2022/4/8,171.779999,171.779999,169.199997,170.089996,168.382797,76575500,,,,,,115184.5012,164.159996,100
2022/4/11,168.710007,169.029999,165.5,165.75,164.08638,72246700,,,,,,115184.5012,164.159996,100
2022/4/12,168.020004,169.869995,166.639999,167.660004,165.977203,79265200,,,,,,115184.5012,164.159996,100
2022/4/13,167.389999,171.039993,166.770004,170.399994,168.689682,70618900,,,,,,115184.5012,164.159996,100
2022/4/14,170.619995,171.270004,165.039993,165.289993,163.630966,75329400,,,,,,115184.5012,164.159996,100
2022/4/18,163.919998,166.600006,163.570007,165.070007,163.413208,69023900,,,,,,115184.5012,164.159996,100
2022/4/19,165.020004,167.820007,163.910004,167.399994,165.719788,67723800,,,,,,115184.5012,164.159996,100
2022/4/20,168.759995,168.880005,166.100006,167.229996,165.551498,67929800,,,,,,115184.5012,164.159996,100
2022/4/21,168.910004,171.529999,165.910004,166.419998,164.749634,87227800,,,,,,115184.5012,164.159996,100
2022/4/22,166.460007,167.869995,161.5,161.789993,160.166122,84882400,,,,,,115184.5012,164.159996,100
2022/4/25,161.119995,163.169998,158.460007,162.880005,161.245193,96046400,,,,,,115184.5012,164.159996,100
2022/4/26,162.25,162.339996,156.720001,156.800003,155.226212,95623200,,,,,,115184.5012,164.159996,100
2022/4/27,155.910004,159.789993,155.380005,156.570007,154.99852,88063200,,,,,,115184.5012,164.159996,100
2022/4/28,159.25,164.520004,158.929993,163.639999,161.997559,130216800,,,,,,115184.5012,164.159996,100
2022/4/29,161.839996,166.199997,157.25,157.649994,156.067657,131747600,,,,,,115184.5012,164.159996,100
2022/5/2,156.710007,158.229996,153.270004,157.960007,156.374573,123055300,,,,,,115184.5012,164.159996,100
2022/5/3,158.149994,160.710007,156.320007,159.479996,157.879288,88966500,,,,,,115184.5012,164.159996,100
2022/5/4,159.669998,166.479996,159.259995,166.020004,164.353683,108256500,,,,,,115184.5012,164.159996,100
2022/5/5,163.850006,164.080002,154.949997,156.770004,155.196487,130525300,,,,,,115184.5012,164.159996,100
2022/5/6,156.009995,159.440002,154.179993,157.279999,155.930145,116124600,,,,,,115184.5012,164.159996,100
2022/5/9,154.929993,155.830002,151.490005,152.059998,150.754944,131577900,FALSE,,,,,115184.5012,164.159996,100
2022/5/10,155.520004,156.740005,152.929993,154.509995,153.183914,115366700,,,,,,99978.50143,158.109997,200
2022/5/11,153.5,155.449997,145.809998,146.5,145.242676,142689800,,,,,,99978.50143,158.109997,200
2022/5/12,142.770004,146.199997,138.800003,142.559998,141.336487,182602000,,,,,,99978.50143,158.109997,200
2022/5/13,144.589996,148.100006,143.110001,147.110001,145.847427,113990900,,,,,,99978.50143,158.109997,200
2022/5/16,145.550003,147.520004,144.179993,145.539993,144.290909,86643800,,,,,,99978.50143,158.109997,200
2022/5/17,148.860001,149.770004,146.679993,149.240005,147.959152,78336300,,,,,,99978.50143,158.109997,200
2022/5/18,146.850006,147.360001,139.899994,140.820007,139.611435,109742900,,,,,,99978.50143,158.109997,200
2022/5/19,139.880005,141.660004,136.600006,137.350006,136.171204,136095600,,,,,,99978.50143,158.109997,200
2022/5/20,139.089996,140.699997,132.610001,137.589996,136.409119,137426100,,,,,,99978.50143,158.109997,200
2022/5/23,137.789993,143.259995,137.649994,143.110001,141.881775,117726300,FALSE,,,,,99978.50143,150.609999,400
2022/5/24,140.809998,141.970001,137.330002,140.360001,139.155365,104132700,,,,,,99978.50143,150.609999,400
2022/5/25,138.429993,141.789993,138.339996,140.520004,139.313995,92482700,,,,,,99978.50143,150.609999,400
2022/5/26,137.389999,144.339996,137.139999,143.779999,142.546021,90601500,,,,,,99978.50143,150.609999,400
2022/5/27,145.389999,149.679993,145.259995,149.639999,148.355713,90978500,,,,,,99978.50143,150.609999,400
2022/5/31,149.070007,150.660004,146.839996,148.839996,147.562561,103718400,,,,,,99978.50143,150.609999,400
2022/6/1,149.899994,151.740005,147.679993,148.710007,147.433701,74286600,,,,,,99978.50143,150.609999,400
2022/6/2,147.830002,151.270004,146.860001,151.210007,149.912262,72348100,,,,,,99978.50143,150.609999,400
2022/6/3,146.899994,147.970001,144.460007,145.380005,144.132294,88570300,,,,,,99978.50143,150.609999,400
2022/6/6,147.029999,148.570007,144.899994,146.139999,144.885757,71598400,,,,,,99978.50143,150.609999,400
2022/6/7,144.350006,149,144.100006,148.710007,147.433701,67808200,,,,,,99978.50143,150.609999,400
2022/6/8,148.580002,149.869995,147.460007,147.960007,146.69014,53950200,,,,,,99978.50143,150.609999,400
2022/6/9,147.080002,147.949997,142.529999,142.639999,141.415787,69473000,,,,,,99978.50143,150.609999,400
2022/6/10,140.279999,140.759995,137.059998,137.130005,135.953094,91437900,,,,,,99978.50143,150.609999,400
2022/6/13,132.869995,135.199997,131.440002,131.880005,130.748138,122207100,FALSE,,,,,47226.49943,141.245002,800
2022/6/14,133.130005,133.889999,131.479996,132.759995,131.620575,84784300,,,,,,47226.49943,141.245002,800
2022/6/15,134.289993,137.339996,132.160004,135.429993,134.26767,91533000,,,,,,47226.49943,141.245002,800
2022/6/16,132.080002,132.389999,129.039993,130.059998,128.943756,108123900,,,,,,47226.49943,141.245002,800
2022/6/17,130.070007,133.080002,129.809998,131.559998,130.430908,134520300,,,,,,47226.49943,141.245002,800
2022/6/21,133.419998,137.059998,133.320007,135.869995,134.703888,81000500,,,,,,47226.49943,141.245002,800
2022/6/22,134.789993,137.759995,133.910004,135.350006,134.188354,73409200,,,,,,47226.49943,141.245002,800
2022/6/23,136.820007,138.589996,135.630005,138.270004,137.083298,72433800,,,,,,47226.49943,141.245002,800
2022/6/24,139.899994,141.910004,139.770004,141.660004,140.444214,89116800,,,,,,47226.49943,141.245002,800
2022/6/27,142.699997,143.490005,140.970001,141.660004,140.444214,70207900,,,,,,47226.49943,141.245002,800
2022/6/28,142.130005,143.419998,137.320007,137.440002,136.260406,67083400,,,,,,47226.49943,141.245002,800
2022/6/29,137.460007,140.669998,136.669998,139.229996,138.03508,66242400,,,,,,47226.49943,141.245002,800
2022/6/30,137.25,138.369995,133.770004,136.720001,135.546616,98964500,,,,,,47226.49943,141.245002,800
2022/7/1,136.039993,139.039993,135.660004,138.929993,137.737625,71051600,,,,,,47226.49943,141.245002,800
2022/7/5,137.770004,141.610001,136.929993,141.559998,140.345062,73353800,TRUE,,,,,103850.4986,141.245002,400
2022/7/6,141.350006,144.119995,141.080002,142.919998,141.69339,74064300,,,,,,103850.4986,141.245002,400
2022/7/7,143.289993,146.550003,143.279999,146.350006,145.093948,66253700,,,,,,103850.4986,141.245002,400
2022/7/8,145.259995,147.550003,145,147.039993,145.778046,64547800,,,,,,103850.4986,141.245002,400
2022/7/11,145.669998,146.639999,143.779999,144.869995,143.626648,63141600,,,,,,103850.4986,141.245002,400
2022/7/12,145.759995,148.449997,145.050003,145.860001,144.608154,77588800,,,,,,103850.4986,141.245002,400
2022/7/13,142.990005,146.449997,142.119995,145.490005,144.241333,71185600,,,,,,103850.4986,141.245002,400
2022/7/14,144.080002,148.949997,143.25,148.470001,147.19574,78140700,,,,,,103850.4986,141.245002,400
2022/7/15,149.779999,150.860001,148.199997,150.169998,148.88118,76259900,,,,,,103850.4986,141.245002,400
2022/7/18,150.740005,151.570007,146.699997,147.070007,145.807785,81420900,,,,,,103850.4986,141.245002,400
2022/7/19,147.919998,151.229996,146.910004,151,149.704071,82982400,,,,,,103850.4986,141.245002,400
2022/7/20,151.119995,153.720001,150.369995,153.039993,151.726532,64823400,TRUE,,,,,165066.4958,141.245002,0
